% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
7 +1.563958598e+03 +1.563958598e+03 +1.522218598e+03 +1.522218598e+03 +3.0714e+00 -9.9449e-01 -1.9208e+00 +9.9093e-01 -3.2651e+00 -1.7405e+00 +1.4193e+00 +2.9290e+00 +3.7684e-01 +8.6187e-01 -4.3570e+00 +4.8228e+00 -3.7787e-01 +2.2869e+00 -3.1519e+00 +3.7593e+00 +2.7618e+00 +2.6952e+00 -2.7325e+00 -2.8265e+00
47 +8.097437803e+02 +8.097437803e+02 +7.680037803e+02 +7.680037803e+02 +3.2326e+00 +7.0750e-01 -3.6459e+00 +5.2269e-01 -2.4236e+00 -6.5019e-02 +4.5088e+00 +1.7605e+00 +1.5433e+00 +2.6812e+00 -2.4028e+00 -1.1534e+00 +3.4778e+00 -4.9404e+00 -3.6086e-01 +7.5773e-02 -4.6671e+00 +1.9426e+00 -4.6070e+00 +1.1822e+00
897 +6.262239445e+02 +6.262239445e+02 +5.844839445e+02 +5.844839445e+02 +8.4393e-01 +5.0000e+00 -3.0084e+00 -4.0283e+00 +1.8664e-01 +3.5272e+00 +2.5486e+00 +2.3403e-01 +3.5658e-01 -2.7660e+00 -2.4004e+00 +2.6401e+00 +1.0243e+00 -1.0235e+00 -1.4511e+00 -2.1028e+00 -5.7194e-01 +2.1292e+00 -1.0147e+00 +2.4040e+00
397 +6.195526731e+02 +6.195526731e+02 +5.778126731e+02 +5.778126731e+02 -4.6625e+00 +1.5376e-01 -1.0170e+00 +1.6928e+00 -1.8070e+00 +1.5093e+00 +3.3312e-01 -4.2079e+00 +2.4915e+00 +3.0645e+00 -4.2516e+00 +2.6148e+00 +6.3351e-01 -1.3735e+00 -2.4139e+00 +1.2334e+00 +2.4598e+00 +1.4947e+00 -2.3312e-01 +2.9334e+00
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.930062236e+03 +1.930062236e+03 +1.435202236e+03 +1.435202236e+03 -2.4901e+00 -2.4056e+00 +1.1218e+00 +2.1470e-01 -2.4644e+00 -3.5737e+00 -2.4185e+00 -3.6521e+00 -1.4869e+00 -6.0593e-01 +3.0439e+00 -8.6709e-01 -5.4936e-01 +3.1114e+00 +3.5814e+00 -1.9144e+00 +1.4959e+00 +4.4793e+00 -3.7068e-01 +1.6467e+00
2 +1.278238841e+03 +1.278238841e+03 +7.833788409e+02 +7.833788409e+02 -4.8608e+00 +1.3299e+00 +3.3123e+00 -2.1976e+00 +4.9825e+00 +7.0273e-01 +2.1997e+00 -8.6383e-01 +4.0598e+00 -2.2276e+00 +5.4744e-01 -3.3651e+00 -1.2234e+00 -4.5733e+00 -2.7935e+00 -4.5340e+00 +4.4979e+00 +4.7298e+00 +3.6660e+00 -3.8326e+00
12 +8.262220626e+02 +8.262220626e+02 +3.313620626e+02 +3.313620626e+02 +2.0769e+00 -4.8144e+00 +1.0726e+00 -6.5672e-01 -2.5246e+00 +2.6262e+00 -3.5350e+00 +8.1641e-01 +5.5087e-01 +1.7878e+00 -4.0403e+00 -3.6210e+00 -1.9801e-01 -8.2338e-01 -3.4110e+00 -4.8076e+00 -4.7157e-01 +3.6532e-02 +4.5231e+00 +2.4943e+00
293 +5.360771433e+02 +5.360771433e+02 +4.121714334e+01 +4.121714334e+01 -4.6251e+00 -4.6975e+00 -3.9908e-01 -2.8509e-01 -7.3004e-01 -3.3235e+00 +1.5606e+00 +1.0160e+00 -6.9590e-01 +2.0390e+00 -2.7937e+00 +3.9596e-01 +1.2911e+00 -2.1564e+00 +9.3031e-01 -4.5604e+00 +1.3901e+00 +1.8159e+00 +3.5940e+00 -1.1112e+00
% function evaluation | noise-free fitness - Fopt (3.484000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.458003805e+03 +1.458003805e+03 +1.806403805e+03 +1.806403805e+03 -3.4739e+00 +1.7994e+00 -4.3634e+00 -3.0186e+00 +3.7722e+00 -2.4169e+00 +7.6424e-01 -4.5496e+00 +4.2011e+00 +4.0925e+00 -5.3137e-01 +4.7474e+00 -6.7984e-01 -3.4368e+00 -2.4101e+00 +3.6796e+00 -4.9658e+00 +1.9970e+00 +2.6261e-01 +2.9676e+00
15 +8.634878858e+02 +8.634878858e+02 +1.211887886e+03 +1.211887886e+03 -4.3430e+00 -3.6116e+00 -9.1672e-01 -1.1700e+00 -3.3507e+00 +2.2457e+00 +3.9362e+00 +3.7827e-01 +3.5280e+00 +4.7277e+00 -3.1028e+00 +4.5742e+00 -4.2556e+00 +4.3034e+00 +6.8910e-01 +4.2339e+00 -1.6219e+00 +1.2455e+00 -1.7322e+00 +3.0075e+00
604 +5.302114497e+02 +5.302114497e+02 +8.786114497e+02 +8.786114497e+02 +3.3224e+00 +1.5028e+00 -3.5127e+00 -2.9010e-01 -1.3059e-01 -2.4994e-01 -1.3779e-01 -1.3422e+00 +9.7270e-01 +1.5991e-01 +2.5110e-01 +6.2584e-01 -1.2691e-01 +2.9764e+00 -1.2736e+00 +2.5573e+00 -5.0000e+00 -1.6019e-01 -2.8383e+00 +1.3180e+00
327 +6.219464122e+02 +6.219464122e+02 +9.703464122e+02 +9.703464122e+02 -5.2236e-01 +4.8815e+00 -2.4873e+00 -2.0186e+00 -3.3078e+00 -2.0396e+00 +1.3153e+00 -2.0224e+00 +4.7481e+00 +3.0615e+00 -3.4466e+00 -3.0023e+00 -4.7935e+00 +2.8442e+00 -1.5468e+00 +2.7732e+00 -2.4650e+00 +3.3059e+00 -3.6601e+00 -2.2276e+00
% function evaluation | noise-free fitness - Fopt (3.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.273853785e+03 +1.273853785e+03 +1.277623785e+03 +1.277623785e+03 +6.6477e-01 +3.2282e+00 +1.0363e+00 -2.6606e-01 +1.9351e+00 +4.2418e+00 -4.3734e-01 +1.6474e+00 -6.7901e-02 -3.7633e+00 -2.2268e-01 -3.9116e+00 +3.9596e+00 -1.3508e+00 -1.3792e+00 -3.9327e+00 -4.4995e+00 -2.3816e+00 +6.2761e-01 +3.2136e+00
35 +8.313529332e+02 +8.313529332e+02 +8.351229332e+02 +8.351229332e+02 +8.8754e-01 +4.8594e+00 +6.1669e-01 +2.1608e+00 +3.8004e-01 +1.2330e+00 +3.6250e+00 -1.5640e+00 -2.9571e+00 +1.8952e+00 +2.9815e+00 -1.6133e+00 -6.3138e-01 -1.7682e+00 +2.4936e-01 +1.7574e+00 +2.6972e+00 -2.8913e+00 +2.6286e+00 -1.5399e+00
129 +5.295676665e+02 +5.295676665e+02 +5.333376665e+02 +5.333376665e+02 -2.4631e+00 -1.3658e+00 -4.6928e+00 +4.5519e+00 -4.1168e+00 +1.4821e+00 -5.8600e-01 +3.4887e+00 -9.1708e-01 -4.2397e+00 +2.3987e+00 +1.6334e+00 +4.3053e-02 -3.6333e+00 +2.7393e-01 +1.3850e+00 -2.3701e+00 -6.4586e-01 +1.5930e+00 +1.2290e+00
% function evaluation | noise-free fitness - Fopt (3.770000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.693234595e+03 +1.693234595e+03 +1.730934595e+03 +1.730934595e+03 +1.1325e+00 +2.9546e+00 -2.7619e+00 +3.8861e+00 -3.3561e-01 +1.3749e+00 -2.0607e+00 -1.4331e+00 -2.1516e+00 -4.6089e+00 -4.2042e+00 -1.2382e+00 -1.5979e+00 -3.1165e+00 -4.7202e+00 -4.0697e+00 -1.9818e-01 +1.6760e+00 +2.3008e-01 -4.8029e+00
2 +1.341634616e+03 +1.341634616e+03 +1.379334616e+03 +1.379334616e+03 -5.0533e-01 -4.4540e+00 -2.9285e+00 +3.9329e+00 +9.4300e-01 -3.7429e+00 +3.4305e+00 -2.4389e-02 +4.4620e-01 -4.3756e+00 -2.7106e+00 +3.6044e+00 +2.9027e+00 +1.2636e+00 -6.3361e-01 +4.1509e+00 -2.4741e+00 +6.0995e-01 -1.0699e+00 +3.1963e+00
