% function evaluation | noise-free fitness - Fopt (6.870000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
609 +3.567509579e+00 +3.567509579e+00 +2.350750958e+01 +2.350750958e+01 -1.3872e+00 -4.3958e+00 +4.6581e+00 -3.2232e+00 +2.5598e+00 +2.5921e+00 -4.7295e+00 -8.6437e-01 +2.2557e+00 -2.4502e+00 -3.7434e+00 -2.2161e+00 -3.5030e+00 +2.3597e+00 +4.9783e+00 +6.6785e-01 -8.9105e-01 +4.3010e+00 -1.0658e+00 -3.1044e+00
% function evaluation | noise-free fitness - Fopt (2.047400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.593422086e+01 +1.593422086e+01 +2.206742209e+02 +2.206742209e+02 -4.3217e+00 +3.8296e+00 +2.0916e+00 -2.3490e+00 +1.3134e+00 +1.0442e+00 -2.9746e+00 -1.4700e+00 -4.2651e+00 +1.0481e+00 +2.0931e+00 -3.5041e+00 +4.0414e+00 +7.2842e-01 -2.4852e+00 +2.6967e+00 +7.5859e-01 -3.2314e+00 +2.9722e+00 +3.4424e+00
2 +1.129484927e+01 +1.129484927e+01 +2.160348493e+02 +2.160348493e+02 -2.7285e+00 +3.4768e+00 -2.2940e+00 +1.4665e+00 -4.9167e+00 +1.5027e+00 +4.1774e+00 -3.8990e-01 +2.4950e+00 +1.3471e+00 +3.2392e+00 +4.5773e-01 -3.2784e+00 -4.5515e+00 +2.0220e+00 +1.0774e+00 +8.8883e-01 +4.7130e+00 -8.0409e-01 -3.9725e+00
4 +9.998753985e+00 +9.998753985e+00 +2.147387540e+02 +2.147387540e+02 +3.2911e+00 +4.7138e+00 -1.0222e+00 -3.5181e+00 -2.0369e+00 +2.4279e+00 +2.9449e+00 -4.2329e+00 -9.6159e-01 -5.4426e-02 +2.6194e-01 +2.3531e+00 +3.3663e+00 +1.9491e+00 +4.0733e+00 -2.2459e+00 -7.5817e-01 +3.3395e+00 -2.2622e+00 +4.6845e+00
5 +5.855777928e+00 +5.855777928e+00 +2.105957779e+02 +2.105957779e+02 +2.7126e+00 -3.9849e+00 -1.8311e+00 +2.7117e-01 -3.0423e+00 -1.6701e+00 +8.5615e-01 -4.1294e+00 -9.1433e-01 +1.2016e+00 +1.8358e+00 +3.9318e+00 +1.3019e+00 +8.7297e-01 -2.3374e+00 +2.5978e-01 +8.1312e-01 -4.6846e+00 +2.0184e+00 +1.9193e+00
% function evaluation | noise-free fitness - Fopt (-3.887700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.526059828e+01 +1.526059828e+01 -3.735094017e+02 -3.735094017e+02 -4.5888e+00 -2.7829e+00 -1.2230e+00 -9.9229e-02 +4.6629e+00 -3.9701e+00 -2.4852e+00 +4.7715e+00 -3.5089e-01 -2.2424e+00 +3.7381e+00 -4.5431e-01 -4.6409e+00 -4.5010e+00 +4.3766e+00 +4.3457e+00 -2.7854e+00 -2.1902e-01 -2.0888e+00 -1.4604e+00
12 +6.680648682e+00 +6.680648682e+00 -3.820893513e+02 -3.820893513e+02 -4.4070e+00 -4.2976e-01 -4.9412e+00 +7.4660e-01 +4.1340e+00 +2.4800e+00 +3.0431e+00 -4.5639e+00 +1.3625e+00 +3.3959e+00 +1.9026e+00 +4.5930e+00 -4.7252e+00 -3.5885e+00 -1.7532e+00 +9.5650e-01 +4.8598e+00 -3.8985e+00 -2.6987e+00 -1.6586e+00
29 +5.589838402e+00 +5.589838402e+00 -3.831801616e+02 -3.831801616e+02 +4.1228e+00 -2.5826e+00 +2.5345e+00 +4.5998e+00 -3.2776e+00 +6.0521e-01 +1.7852e+00 -1.7571e+00 +5.2471e-01 -1.2588e+00 -2.9617e+00 -7.8783e-01 +1.0464e+00 +3.4929e+00 +1.0542e+00 -6.1259e-01 +2.1396e+00 +2.2085e+00 -1.8205e+00 -3.1252e+00
660 +2.915007702e+00 +2.915007702e+00 -3.858549923e+02 -3.858549923e+02 -4.2677e+00 -2.7449e-01 +5.0000e+00 +1.0331e+00 -1.9873e+00 -1.7310e-01 +5.0000e+00 -2.5287e-01 -2.8455e-01 +5.0000e+00 +3.0262e+00 +3.2596e+00 +9.7017e-01 +5.1832e-01 +2.4916e-01 +1.0275e+00 -3.4230e+00 -4.1312e+00 +1.8811e-02 -3.8936e-01
% function evaluation | noise-free fitness - Fopt (-1.918000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.908177393e+01 +1.908177393e+01 -9.822606822e-02 -9.822606822e-02 +2.8352e+00 +4.1820e+00 +2.6090e+00 -1.1697e+00 -2.8814e+00 +4.4140e-01 +3.7872e+00 +6.3334e-02 -4.4402e+00 +3.7264e+00 +1.5497e+00 +4.5243e+00 +1.1676e+00 -2.7313e+00 +2.2840e+00 -4.5986e+00 -2.2627e+00 +4.9751e+00 +3.7300e+00 -1.6554e+00
2 +1.101793326e+01 +1.101793326e+01 -8.162066737e+00 -8.162066737e+00 -3.0181e+00 +3.4619e+00 +4.7580e+00 +4.3387e+00 -6.7008e-01 -2.2525e+00 -2.0698e+00 +1.2347e+00 +2.0635e+00 -1.3327e+00 -1.7012e+00 +4.0675e+00 +4.9543e+00 -3.0269e-02 +5.7331e-01 -1.8242e-01 +4.1059e-02 -4.7219e+00 -1.7919e-01 +1.3770e+00
17 +9.709677456e+00 +9.709677456e+00 -9.470322544e+00 -9.470322544e+00 +1.6440e+00 -4.4817e+00 -3.4692e+00 +2.2143e+00 +4.0663e+00 +2.0866e+00 +2.9879e+00 -1.6602e+00 -3.9726e+00 -4.0773e+00 +5.2772e-01 -2.4539e+00 -1.5501e+00 +3.5619e+00 -2.8697e+00 +4.3789e+00 -5.6629e-01 -2.0199e+00 -4.8927e+00 +3.8014e+00
55 +5.699191847e+00 +5.699191847e+00 -1.348080815e+01 -1.348080815e+01 +7.5334e-01 +3.4970e+00 +3.6442e+00 -4.4654e+00 -2.8112e+00 +3.9116e+00 -1.3331e+00 -1.6914e+00 +4.2034e+00 +2.7720e+00 +3.0587e+00 +3.0379e-01 -4.6900e+00 -9.7306e-03 +2.9483e+00 -7.9851e-01 -1.9665e+00 +3.0949e+00 +4.1046e+00 +3.2645e+00
% function evaluation | noise-free fitness - Fopt (-3.724500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.132141960e+01 +1.132141960e+01 -3.611285804e+02 -3.611285804e+02 +4.5897e+00 +7.9382e-01 +1.9008e+00 -2.6920e+00 -2.4509e+00 -2.7617e+00 -2.7871e+00 +3.3094e+00 +4.7605e+00 +1.8969e-01 +1.9867e+00 +9.0440e-01 -1.4630e+00 +1.6194e+00 -2.5293e+00 +4.1407e+00 -4.4726e+00 -3.3828e+00 +1.1669e+00 +1.7728e+00
8 +8.322572988e+00 +8.322572988e+00 -3.641274270e+02 -3.641274270e+02 -8.1029e-01 -2.2704e+00 +2.7201e+00 -3.6876e+00 +8.3933e-01 -3.4405e+00 -4.4634e+00 +2.4116e+00 -2.9705e+00 +1.5551e+00 -9.0542e-01 +3.3456e+00 +4.9604e+00 +4.2314e+00 +8.2031e-02 -8.1549e-01 +4.2460e+00 -4.9108e+00 +9.2678e-01 -3.7093e+00
