% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.194209815e+03 +2.194209815e+03 +2.152469815e+03 +2.152469815e+03 +4.5695e+00 +3.9857e-01 -2.1109e+00 +4.2627e+00 +2.5956e+00 +2.7933e+00 +4.4350e+00 -2.7536e+00 +1.4937e+00 -2.8065e+00 +2.1075e+00 +1.6402e+00 +8.7036e-01 +4.2656e+00 -2.4918e+00 -4.3803e+00 -6.8160e-01 +1.3034e+00 -3.0920e+00 +4.7932e+00
19 +9.320598916e+02 +9.320598916e+02 +8.903198916e+02 +8.903198916e+02 +1.4726e+00 -1.8978e+00 +2.1751e-01 +3.9093e+00 -3.1203e+00 +1.5130e+00 +7.9367e-01 +3.5891e+00 -1.1357e+00 +3.7248e+00 -3.8466e+00 -4.1942e-01 +2.9934e+00 -3.8120e+00 -1.7697e+00 +5.8647e-01 -2.9685e+00 +1.9074e+00 +2.0698e+00 +2.0365e+00
41 +6.221379886e+02 +6.221379886e+02 +5.803979886e+02 +5.803979886e+02 -7.5934e-01 -1.0128e+00 -3.7443e+00 -7.3033e-01 -4.8534e+00 -3.1444e+00 -9.5695e-03 -4.7521e+00 -3.7730e+00 +3.5988e-01 -4.1369e+00 +3.7322e+00 -4.5711e+00 -1.7083e+00 -3.3563e+00 -3.5096e+00 +7.8914e-02 -7.1071e-01 -2.2594e+00 +4.3793e+00
% function evaluation | noise-free fitness - Fopt (-4.948600000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.410238959e+03 +1.410238959e+03 +9.153789592e+02 +9.153789592e+02 +1.0819e+00 -1.6875e+00 -2.5136e+00 -1.9841e+00 -4.7708e+00 +4.2569e+00 +2.8417e+00 -3.2159e+00 +4.7222e+00 -2.7535e+00 -1.2680e+00 -7.1447e-01 +2.9621e+00 -3.4695e+00 -1.2238e+00 -4.3371e+00 -4.5539e+00 +4.0859e+00 -2.4351e+00 -2.8615e+00
9 +9.474723475e+02 +9.474723475e+02 +4.526123475e+02 +4.526123475e+02 +3.3487e+00 -4.5766e+00 +2.3704e+00 -2.5891e+00 +5.5986e-02 -4.9111e+00 -2.8013e+00 -2.0274e+00 +1.7362e+00 -2.4413e+00 +9.6828e-01 -2.0873e+00 +4.2715e+00 -4.0400e+00 -4.3985e+00 -3.6596e+00 -3.1498e+00 +2.5790e+00 -3.7914e+00 -6.8145e-01
144 +5.307138463e+02 +5.307138463e+02 +3.585384634e+01 +3.585384634e+01 -4.7818e-01 -1.0614e+00 +2.6197e+00 +4.9108e+00 +1.3983e+00 -3.8796e+00 +1.2733e+00 -6.8723e-01 +1.6761e+00 +2.8863e+00 -2.9081e+00 -1.5319e+00 +1.2495e+00 -8.1414e-01 +2.0803e-01 -4.8146e+00 +1.7344e+00 +1.2003e+00 +2.0451e+00 +1.7465e+00
% function evaluation | noise-free fitness - Fopt (3.484000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.609307684e+03 +2.609307684e+03 +2.957707684e+03 +2.957707684e+03 -4.2631e+00 -1.5735e+00 -2.1324e+00 -2.8299e+00 -1.2934e+00 -4.0152e-01 -1.7974e+00 +4.0897e+00 +3.4361e+00 -3.1499e+00 +2.9573e+00 -1.9871e+00 +8.7445e-01 -2.4662e+00 -1.0603e+00 +1.1690e+00 -1.7591e+00 -2.7099e+00 +1.9456e+00 +8.0931e-01
5 +2.114630106e+03 +2.114630106e+03 +2.463030106e+03 +2.463030106e+03 -3.2446e+00 +2.0892e+00 +3.0669e-01 -2.6448e+00 -2.9748e+00 -2.8233e+00 -2.4865e+00 -2.8622e+00 -4.2584e+00 -4.0407e+00 -6.9376e-01 +4.1587e+00 -4.4244e+00 +3.6583e+00 +2.9208e+00 +1.8155e+00 -3.8611e+00 +2.1089e+00 +1.1809e+00 +9.8476e-01
6 +1.265135353e+03 +1.265135353e+03 +1.613535353e+03 +1.613535353e+03 +4.6713e+00 +1.5719e+00 +1.6110e+00 -1.6225e+00 -1.3856e+00 +2.5248e+00 +4.3536e+00 -3.6690e+00 +1.4762e+00 -4.1778e+00 +2.5010e+00 +2.9501e+00 +3.0964e+00 -4.9559e-01 -1.2262e+00 -1.1607e+00 +6.2886e-01 -1.0729e+00 -2.1943e+00 +2.2386e+00
19 +8.798693998e+02 +8.798693998e+02 +1.228269400e+03 +1.228269400e+03 -1.9312e+00 -5.1090e-01 -4.0513e+00 -2.6578e+00 -9.2136e-01 -3.6045e+00 +1.6558e+00 +1.0075e+00 +4.4967e-01 -1.4946e+00 -1.1135e+00 +3.4807e+00 +1.2764e+00 +1.2844e+00 -1.8427e-01 +3.0349e+00 -3.8873e+00 +4.9953e+00 -2.9555e+00 -6.7339e-01
140 +4.591882068e+02 +4.591882068e+02 +8.075882068e+02 +8.075882068e+02 -4.0453e+00 +4.9724e+00 -2.9830e+00 +2.3623e-01 -2.9938e+00 +4.9297e+00 -2.5829e+00 -2.8556e+00 +2.1080e+00 +1.1735e+00 -2.3585e+00 -1.6865e+00 -3.6925e+00 +2.5025e+00 -1.2790e+00 -1.7781e+00 -5.6711e-01 +5.2793e-01 -4.1553e+00 +1.6388e+00
% function evaluation | noise-free fitness - Fopt (3.770000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.344060661e+03 +1.344060661e+03 +1.347830661e+03 +1.347830661e+03 +1.9743e+00 -2.6779e+00 +1.2177e+00 +1.1635e+00 +1.8725e+00 +3.6882e+00 +2.0853e+00 -4.4353e+00 -1.9080e+00 -2.5413e+00 -3.8097e+00 +7.0323e-02 -3.1141e+00 -2.2101e+00 +1.1557e+00 +1.2719e+00 +4.3974e+00 -2.4130e+00 -9.7016e-01 +1.3437e+00
20 +8.785173998e+02 +8.785173998e+02 +8.822873998e+02 +8.822873998e+02 -6.9285e-01 -4.7969e+00 +8.0229e-02 +2.2126e+00 -3.8652e+00 -4.7683e-01 +3.3169e+00 +5.2445e-01 -3.1652e+00 +1.0054e+00 -8.4239e-01 +7.1173e-01 -3.1906e+00 -2.0542e+00 -3.0487e+00 +7.9083e-01 +3.7993e+00 -4.3223e+00 +4.8166e+00 +1.4464e+00
166 +5.737373915e+02 +5.737373915e+02 +5.775073915e+02 +5.775073915e+02 +4.7112e+00 -1.6644e+00 +3.4177e-01 -1.0136e+00 -3.4569e+00 +2.5125e+00 +4.7875e+00 -9.1044e-01 -2.2268e+00 -3.2161e+00 +1.0338e+00 +1.2421e+00 -1.5232e+00 -4.4611e+00 -2.2844e+00 +3.6940e+00 +1.0279e+00 -5.6998e-02 -1.4189e+00 -8.9243e-01
% function evaluation | noise-free fitness - Fopt (3.770000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.647854672e+03 +2.647854672e+03 +2.685554672e+03 +2.685554672e+03 -8.1555e-02 -2.4575e+00 +1.3248e+00 +8.5126e-01 -1.8825e+00 +1.0612e+00 -3.0119e+00 +2.1487e+00 -2.3772e+00 +3.3695e+00 +1.2846e+00 +8.9062e-01 -4.2232e+00 +2.0280e+00 -1.2950e-01 -4.3727e+00 +3.6725e+00 +8.3316e-01 -2.4119e+00 +1.7779e-01
